signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.274312500000000000e+03,3.309041829362292092e-05,1.437680849086566546e-33,4.757543085741470053e-38
1.274331249999999955e+03,3.397084174385646931e-05,1.555353480364505397e-33,5.283885509396266438e-38
1.274349999999999909e+03,3.487003422507098881e-05,1.682584705778735512e-33,5.867421608714446635e-38
1.274368750000000091e+03,3.578801024962508621e-05,1.820144988355023794e-33,6.514206515495280304e-38
1.274387500000000045e+03,3.672478225326222297e-05,1.968866405104546497e-33,7.230918447306884744e-38
1.274406250000000000e+03,3.768036059842915316e-05,2.129647534709874510e-33,8.024921032672549695e-38
1.274424999999999955e+03,3.865475356380745008e-05,2.303458729789018898e-33,8.904331699625677991e-38
1.274443749999999909e+03,3.964796734041267553e-05,2.491347803651932715e-33,9.878096705913470600e-38
1.274462500000000091e+03,4.066000603106993092e-05,2.694446163983507670e-33,1.095607343948131691e-37
1.274481250000000045e+03,4.169087163910814261e-05,2.913975428150928255e-33,1.214912067147883130e-37
1.274500000000000000e+03,4.274056407450578060e-05,3.151254557776308307e-33,1.346919751906936782e-37
1.274518749999999955e+03,4.380908114177953423e-05,3.407707552869638439e-33,1.492947192672986637e-37
1.274537499999999909e+03,4.489641853202926331e-05,3.684871749104413206e-33,1.654443956494080688e-37
1.274556250000000091e+03,4.600256983487521995e-05,3.984406765068955700e-33,1.833005412821006393e-37
1.274575000000000045e+03,4.712752652241149041e-05,4.308104150061650437e-33,2.030387008092577960e-37
1.274593750000000000e+03,4.827127795757386078e-05,4.657897786707879705e-33,2.248519903055597792e-37
1.274612499999999955e+03,4.943381137528135338e-05,5.035875107080255861e-33,2.489528097587291744e-37
1.274631249999999909e+03,5.061511188998844038e-05,5.444289185221351771e-33,2.755747183407754869e-37
1.274650000000000091e+03,5.181516250517630536e-05,5.885571774205819192e-33,3.049744874856400908e-37
1.274668750000000045e+03,5.303394409193886794e-05,6.362347360599813472e-33,3.374343480089371703e-37
1.274687500000000000e+03,5.427143538967177388e-05,6.877448315400166933e-33,3.732644494805844277e-37
1.274706249999999955e+03,5.552761301993379113e-05,7.433931225901461282e-33,4.128055513858748746e-37
1.274724999999999909e+03,5.680245146825736003e-05,8.035094499975705318e-33,4.564319670871845990e-37
1.274743750000000091e+03,5.809592309704668926e-05,8.684497341034669321e-33,5.045547842274181691e-37
1.274762500000000045e+03,5.940799813195333254e-05,9.385980199324601757e-33,5.576253864680189638e-37
1.274781250000000000e+03,6.073864467938868290e-05,1.014368681376466664e-32,6.161393046120630569e-37
1.274799999999999955e+03,6.208782870389319033e-05,1.096208796649796370e-32,6.806404265059739920e-37
1.274818749999999909e+03,6.345551403942668758e-05,1.184600708258780123e-32,7.517255991165372704e-37
1.274837500000000091e+03,6.484166240204576961e-05,1.280064781659339071e-32,8.300496581744249964e-37
1.274856250000000045e+03,6.624623336978714737e-05,1.383162377902645300e-32,9.163309237419728286e-37
1.274875000000000000e+03,6.766918439120085422e-05,1.494499056740991321e-32,1.011357204641999958e-36
1.274893749999999955e+03,6.911047079789409912e-05,1.614728027870035005e-32,1.115992357516933675e-36
1.274912499999999909e+03,7.057004577969186964e-05,1.744553869400913188e-32,1.231183449918616899e-36
1.274931250000000091e+03,7.204786041977654775e-05,1.884736534059608160e-32,1.357968583382541210e-36
1.274950000000000045e+03,7.354386366576544810e-05,2.036095665178995350e-32,1.497485433802709857e-36
1.274968750000000000e+03,7.505800235775042745e-05,2.199515246238379401e-32,1.650980575603197599e-36
1.274987499999999955e+03,7.659022120994838636e-05,2.375948609510213276e-32,1.819819658026233578e-36
1.275006249999999909e+03,7.814046282036737879e-05,2.566423831308655363e-32,2.005498511196308338e-36
1.275025000000000091e+03,7.970866768183525208e-05,2.772049543388361950e-32,2.209655264511363095e-36
1.275043750000000045e+03,8.129477418074258234e-05,2.994021192376630674e-32,2.434083567261973436e-36
1.275062500000000000e+03,8.289871858829222779e-05,3.233627781434378462e-32,2.680747009518756342e-36
1.275081249999999955e+03,8.452043508360451728e-05,3.492259130958259243e-32,2.951794851130292666e-36
1.275099999999999909e+03,8.615985574606331153e-05,3.771413697995503102e-32,3.249579172988617319e-36
1.275118750000000091e+03,8.781691055676531037e-05,4.072706996923095044e-32,3.576673577532308135e-36
1.275137500000000045e+03,8.949152741636684722e-05,4.397880667294015253e-32,3.935893575894053636e-36
1.275156250000000000e+03,9.118363213732719500e-05,4.748812238076641287e-32,4.330318808737237966e-36
1.275174999999999955e+03,9.289314845357314436e-05,5.127525641347554099e-32,4.763317263972558649e-36
1.275193749999999909e+03,9.461999802495443758e-05,5.536202532426508686e-32,5.238571665982005936e-36
1.275212500000000091e+03,9.636410044313391374e-05,5.977194477840244598e-32,5.760108227263598665e-36
1.275231250000000045e+03,9.812537324178796736e-05,6.453036076957133323e-32,6.332327969597412651e-36
1.275250000000000000e+03,9.990373188902838179e-05,6.966459088229752806e-32,6.960040838094840102e-36
1.275268749999999955e+03,1.016990898113757469e-04,7.520407636358193123e-32,7.648502855224289325e-36
1.275287499999999909e+03,1.035113583829534598e-04,8.118054582221468458e-32,8.403456575328671897e-36
1.275306250000000091e+03,1.053404469467940325e-04,8.762819143801567137e-32,9.231175131609494772e-36
1.275325000000000045e+03,1.071862628137216318e-04,9.458385862734877331e-32,1.013851018361404969e-35
1.275343750000000000e+03,1.090487112808265452e-04,1.020872501857932349e-31,1.113294410719738829e-35
1.275362499999999955e+03,1.109276956098569777e-04,1.101811460009202147e-31,1.222264678841387449e-35
