signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.273599999999999909e+03,2.903642831347069372e-05,1.092744907462766248e-36,3.173060275859519462e-41
1.273618750000000091e+03,2.842466338140523240e-05,1.186392026488536121e-36,3.372406256606136108e-41
1.273637500000000045e+03,2.782161100645241052e-05,1.288008882999668206e-36,3.583583012731364594e-41
1.273656250000000000e+03,2.722743218995903120e-05,1.398268937285433746e-36,3.807270482787565549e-41
1.273674999999999955e+03,2.664228733373622787e-05,1.517902148581988305e-36,4.044190646224693644e-41
1.273693749999999909e+03,2.606633621988921093e-05,1.647699680185688118e-36,4.295110951531023420e-41
1.273712500000000091e+03,2.549973799693809425e-05,1.788518993428190458e-36,4.560848135767149448e-41
1.273731250000000045e+03,2.494265114802489969e-05,1.941289362487242706e-36,4.842272483004681710e-41
1.273750000000000000e+03,2.439523348034086821e-05,2.107017844435450651e-36,5.140312585808776222e-41
1.273768749999999955e+03,2.385764209383587348e-05,2.286795741949492346e-36,5.455960668413579083e-41
1.273787499999999909e+03,2.333003337149058059e-05,2.481805598859902472e-36,5.790278553199755439e-41
1.273806250000000091e+03,2.281256294749025703e-05,2.693328772302484843e-36,6.144404345453147484e-41
1.273825000000000045e+03,2.230538569690799955e-05,2.922753628474609630e-36,6.519559939794363773e-41
1.273843750000000000e+03,2.180865570846501848e-05,3.171584413143287776e-36,6.917059445899669009e-41
1.273862499999999955e+03,2.132252626389662044e-05,3.441450851803765084e-36,7.338318657808059843e-41
1.273881249999999909e+03,2.084714982090527042e-05,3.734118539260920395e-36,7.784865701609136877e-41
1.273900000000000091e+03,2.038267799001806604e-05,4.051500182911925272e-36,8.258353009233846255e-41
1.273918750000000045e+03,1.992926151994478710e-05,4.395667769352481940e-36,8.760570793355436320e-41
1.273937500000000000e+03,1.948705026542602248e-05,4.768865729631751720e-36,9.293462203981496332e-41
1.273956249999999955e+03,1.905619318120528385e-05,5.173525184384208826e-36,9.859140398612446077e-41
1.273974999999999909e+03,1.863683829024450771e-05,5.612279356798973164e-36,1.045990774435063849e-40
1.273993750000000091e+03,1.822913267141707322e-05,6.087980248355360693e-36,1.109827744105175151e-40
1.274012500000000045e+03,1.783322243692095379e-05,6.603716680101960800e-36,1.177699785385087729e-40
1.274031250000000000e+03,1.744925271146946551e-05,7.162833810336533705e-36,1.249907989792745888e-40
1.274049999999999955e+03,1.707736761375944668e-05,7.768954248528935743e-36,1.326782785436645223e-40
1.274068749999999909e+03,1.671771023569768326e-05,8.426000895177613847e-36,1.408687403733052314e-40
1.274087500000000091e+03,1.637042262637206400e-05,9.138221647396593409e-36,1.496021779030212037e-40
1.274106250000000045e+03,1.603564576742519184e-05,9.910216121532629794e-36,1.589226932885828239e-40
1.274125000000000000e+03,1.571351955951013395e-05,1.074696455646163563e-35,1.688789903675237825e-40
1.274143749999999955e+03,1.540418279666089205e-05,1.165385907340763882e-35,1.795249285183919007e-40
1.274162499999999909e+03,1.510777315136499001e-05,1.263673748391599388e-35,1.909201449914275109e-40
1.274181250000000091e+03,1.482442715763648601e-05,1.370191985112307508e-35,2.031307537818485061e-40
1.274200000000000045e+03,1.455428018469275166e-05,1.485624802735338498e-35,2.162301300626707221e-40
1.274218750000000000e+03,1.429746642671948830e-05,1.610712840841253450e-35,2.302997906781127824e-40
1.274237499999999955e+03,1.405411887776290861e-05,1.746257816385560290e-35,2.454303816120046862e-40
1.274256249999999909e+03,1.382436931764178979e-05,1.893127522402727633e-35,2.617227853959131872e-40
1.274275000000000091e+03,1.360834829035444036e-05,2.052261232660418190e-35,2.792893622031618298e-40
1.274293750000000045e+03,1.340618508758663667e-05,2.224675544945461404e-35,2.982553404185636888e-40
1.274312500000000000e+03,1.321800772950877954e-05,2.411470698358369635e-35,3.187603738924121559e-40
1.274331249999999955e+03,1.304394294879336335e-05,2.613837402713637544e-35,3.409602852514671350e-40
1.274349999999999909e+03,1.288411617001535673e-05,2.833064221211425998e-35,3.650290164761180588e-40
1.274368750000000091e+03,1.273865149375552185e-05,3.070545550971778854e-35,3.911608107210415354e-40
1.274387500000000045e+03,1.260767167811487246e-05,3.327790249287123999e-35,4.195726515407416558e-40
1.274406250000000000e+03,1.249129812229008328e-05,3.606430957542770851e-35,4.505069888911060992e-40
1.274424999999999955e+03,1.238965084803065978e-05,3.908234178809039348e-35,4.842347842028697653e-40
1.274443749999999909e+03,1.230284848279143251e-05,4.235111169386565862e-35,5.210589105601345794e-40
1.274462500000000091e+03,1.223100824337605787e-05,4.589129709734416803e-35,5.613179478059303474e-40
1.274481250000000045e+03,1.217424591837027639e-05,4.972526824986037323e-35,6.053904165834060491e-40
1.274500000000000000e+03,1.213267585158343340e-05,5.387722531298909532e-35,6.536995002672941782e-40
1.274518749999999955e+03,1.210641092554369644e-05,5.837334689891376370e-35,7.067183087914916479e-40
1.274537499999999909e+03,1.209556254492994513e-05,6.324195057430006295e-35,7.649757441984074395e-40
1.274556250000000091e+03,1.210024062039598638e-05,6.851366628267479988e-35,8.290630340967372772e-40
1.274575000000000045e+03,1.212055355246692322e-05,7.422162371819888141e-35,8.996410062011117672e-40
1.274593750000000000e+03,1.215660821536123885e-05,8.040165476229564835e-35,9.774481848044287014e-40
1.274612499999999955e+03,1.220850994166278681e-05,8.709251218655764184e-35,1.063309798663399629e-39
1.274631249999999909e+03,1.227636250642484043e-05,9.433610591531753046e-35,1.158147798905824695e-39
1.274650000000000091e+03,1.236026811115122429e-05,1.021777582506123720e-34,1.262991996070526282e-39
