structure,pump_intensity_fwhm_nm,purity
optimized,3.329999999999988,0.9845498050655761
optimized,3.339999999999988,0.9849146768871094
optimized,3.3499999999999877,0.9852701750868108
optimized,3.3599999999999874,0.9856163665035582
optimized,3.3699999999999872,0.9859533176940593
optimized,3.379999999999987,0.9862810949314177
optimized,3.389999999999987,0.986599764203746
optimized,3.3999999999999866,0.9869093912128553
optimized,3.4099999999999864,0.9872100413729736
optimized,3.419999999999986,0.9875017798095357
optimized,3.429999999999986,0.9877846713580262
optimized,3.4399999999999857,0.9880587805628648
optimized,3.4499999999999855,0.9883241716763496
optimized,3.4599999999999853,0.988580908657663
optimized,3.469999999999985,0.9888290551718993
optimized,3.479999999999985,0.9890686745891739
optimized,3.4899999999999847,0.9892998299837584
optimized,3.4999999999999845,0.9895225841332693
optimized,3.5099999999999842,0.9897369995179189
optimized,3.519999999999984,0.9899431383197803
optimized,3.529999999999984,0.9901410624221364
optimized,3.5399999999999836,0.990330833408842
optimized,3.5499999999999834,0.9905125125637421
optimized,3.559999999999983,0.9906861608701446
optimized,3.569999999999983,0.9908518390103096
optimized,3.5799999999999828,0.9910096073650126
optimized,3.5899999999999825,0.99115952601312
optimized,3.5999999999999823,0.9913016547312181
optimized,3.609999999999982,0.9914360529932869
optimized,3.619999999999982,0.9915627799704001
optimized,3.6299999999999817,0.9916818945304758
optimized,3.6399999999999815,0.9917934552380537
optimized,3.6499999999999813,0.9918975203541165
optimized,3.659999999999981,0.9919941478359459
optimized,3.669999999999981,0.9920833953370205
optimized,3.6799999999999806,0.9921653202069223
optimized,3.6899999999999804,0.9922399794913258
optimized,3.69999999999998,0.992307429931967
optimized,3.70999999999998,0.9923677279666835
optimized,3.7199999999999798,0.9924209297294734
optimized,3.7299999999999796,0.9924670910505826
optimized,3.7399999999999793,0.992506267456629
optimized,3.749999999999979,0.9925385141707583
optimized,3.759999999999979,0.992563886112822
optimized,3.7699999999999787,0.9925824378995983
optimized,3.7799999999999785,0.9925942238450196
optimized,3.7899999999999783,0.992599297960458
optimized,3.799999999999978,0.99259771395501
optimized,3.809999999999978,0.9925895252358227
optimized,3.8199999999999776,0.9925747849084531
optimized,3.8299999999999774,0.992553545777229
optimized,3.839999999999977,0.9925258603456679
optimized,3.849999999999977,0.9924917808168925
optimized,3.859999999999977,0.9924513590940821
optimized,3.8699999999999766,0.9924046467809564
optimized,3.8799999999999764,0.9923516951822596
optimized,3.889999999999976,0.992292555304296
optimized,3.899999999999976,0.992227277855463
optimized,3.9099999999999757,0.9921559132468185
optimized,3.9199999999999755,0.9920785115926698
optimized,3.9299999999999753,0.9919951227111775
optimized,3.939999999999975,0.9919057961249875
optimized,3.949999999999975,0.991810581061868
optimized,3.9599999999999747,0.9917095264553897
optimized,3.9699999999999744,0.9916026809456004
optimized,3.9799999999999742,0.9914900928797363
optimized,3.989999999999974,0.9913718103129384
optimized,3.999999999999974,0.9912478810089937
optimized,4.009999999999973,0.9911183524410981
optimized,4.019999999999973,0.9909832717926167
optimized,4.029999999999973,0.9908426859578902
optimized,4.0399999999999725,0.9906966415430227
optimized,4.049999999999972,0.9905451848667189
optimized,4.059999999999972,0.990388361961113
optimized,4.069999999999972,0.9902262185726177
optimized,4.079999999999972,0.9900588001627926
optimized,4.089999999999971,0.9898861519092249
optimized,4.099999999999971,0.9897083187064133
optimized,4.109999999999971,0.9895253451666918
optimized,4.119999999999971,0.9893372756211262
optimized,4.129999999999971,0.9891441541204624
optimized,4.13999999999997,0.9889460244360581
optimized,4.14999999999997,0.9887429300608466
optimized,4.15999999999997,0.9885349142102979
optimized,4.16999999999997,0.9883220198233951
optimized,4.1799999999999695,0.9881042895636265
optimized,4.189999999999969,0.98788176581998
optimized,4.199999999999969,0.9876544907079572
optimized,4.209999999999969,0.9874225060705774
optimized,4.219999999999969,0.9871858534794257
optimized,4.2299999999999685,0.986944574235676
optimized,4.239999999999968,0.98669870937113
optimized,4.249999999999968,0.9864482996492939
optimized,4.259999999999968,0.9861933855664203
optimized,4.269999999999968,0.9859340073525801
optimized,4.279999999999967,0.9856702049727515
optimized,4.289999999999967,0.9854020181278934
optimized,4.299999999999967,0.985129486256045
optimized,4.309999999999967,0.9848526485334159
optimized,4.3199999999999665,0.9845715438755078
optimized,4.329999999999966,0.9842862109382031
optimized,4.339999999999966,0.9839966881188993
optimized,4.349999999999966,0.9837030135576286
optimized,4.359999999999966,0.9834052251381864
optimized,4.3699999999999655,0.983103360489262
optimized,4.379999999999965,0.9827974569855817
optimized,4.389999999999965,0.98248755174905
optimized,4.399999999999965,0.9821736816499038
optimized,4.409999999999965,0.9818558833078592
optimized,4.419999999999964,0.9815341930932675
optimized,4.429999999999964,0.9812086471282826
optimized,4.439999999999964,0.9808792812880196
optimized,4.449999999999964,0.9805461312017285
optimized,4.4599999999999635,0.9802092322539601
optimized,4.469999999999963,0.9798686195857396
optimized,4.479999999999963,0.9795243280957515
optimized,4.489999999999963,0.9791763924415127
optimized,4.499999999999963,0.9788248470405577
optimized,4.5099999999999625,0.9784697260716193
optimized,4.519999999999962,0.9781110634758184
optimized,4.529999999999962,0.9777488929578576
optimized,4.539999999999962,0.9773832479872032
optimized,4.549999999999962,0.9770141617992828
optimized,4.559999999999961,0.9766416673966706
optimized,4.569999999999961,0.9762657975502974
optimized,4.579999999999961,0.9758865848006257
optimized,4.589999999999961,0.9755040614588705
optimized,4.599999999999961,0.9751182596081709
optimized,4.60999999999996,0.9747292111048119
optimized,4.61999999999996,0.9743369475794029
optimized,4.62999999999996,0.973941500438089
optimized,4.63999999999996,0.9735429008637501
optimized,4.6499999999999595,0.9731411798171862
optimized,4.659999999999959,0.9727363680383377
optimized,4.669999999999959,0.9723284960474611
optimized,4.679999999999959,0.9719175941463436
optimized,4.689999999999959,0.9715036924194959
optimized,4.699999999999958,0.9710868207353479
optimized,4.709999999999958,0.9706670087474405
optimized,4.719999999999958,0.9702442858956325
optimized,4.729999999999958,0.9698186814072843
optimized,4.739999999999958,0.9693902242984573
optimized,4.749999999999957,0.9689589433750989
optimized,4.759999999999957,0.9685248672342457
optimized,4.769999999999957,0.9680880242651931
optimized,4.779999999999957,0.9676484426507042
optimized,4.7899999999999565,0.9672061503681809
optimized,4.799999999999956,0.9667611751908527
